Carlos, Rodriguez, Buenos Aires, 25, M, F
Laura, Martinez, Rosario, 22, F, M
Martín, Gomez, Buenos Aires, 30, M, F
Ana, Fernandez, Rosario, 28, F, M
Diego, Gonzalez, Córdoba, 23, M, F
Maria, Lopez, Córdoba, 26, F, M
Lucas, Torres, Buenos Aires, 19, M, F
Elena, Diaz, Rosario, 21, F, M
Alejandro, Ruiz, Córdoba, 35, M, F
Julia, Herrera, Buenos Aires, 32, F, M
Facundo, Sosa, Rosario, 15, M, F
Carolina, Castro, Córdoba, 18, F, M
Ignacio, Ramirez, Rosario, 28, M, F
Valentina, Flores, Buenos Aires, 29, F, M
Santiago, Castro, Rosario, 20, M, F
Natalia, Vargas, Córdoba, 25, F, M
Federico, Peralta, Buenos Aires, 22, M, F
Victoria, Ortiz, Córdoba, 24, F, M
Joaquin, Acosta, Rosario, 30, M, F
Romina, Silva, Buenos Aires, 27, F, M
Gonzalo, Medina, Córdoba, 26, M, F
Camila, Rojas, Rosario, 28, F, M
Luciano, Castro, Buenos Aires, 18, M, F
Agustina, Perez, Córdoba, 21, F, M
Miguel, Fernandez, Rosario, 29, M, F
Paula, Garcia, Buenos Aires, 22, F, M
Maximiliano, Ponce, Córdoba, 24, M, F
Cecilia, Torres, Rosario, 23, F, M
Hernan, Sosa, Buenos Aires, 31, M, F
Marina, Rodriguez, Córdoba, 26, F, M
Matias, Diaz, Rosario, 19, M, F
Daniela, Gonzalez, Buenos Aires, 20, F, M
Esteban, Rojas, Córdoba, 28, M, F
Gabriela, Herrera, Rosario, 25, F, M
Juan Pablo, Silva, Buenos Aires, 33, M, F
Alicia, Ramirez, Córdoba, 27, F, M
Ezequiel, Vargas, Rosario, 22, M, F
Mariana, Lopez, Buenos Aires, 24, F, M
Alejo, Castro, Córdoba, 29, M, F
Silvina, Perez, Rosario, 31, F, M
Ricardo, Ortiz, Buenos Aires, 20, M, F
Isabel, Sosa, Córdoba, 23, F, M
Fernando, Acosta, Rosario, 35, M, F
Veronica, Garcia, Buenos Aires, 26, F, M
Lautaro, Fernandez, Córdoba, 28, M, F
Nadia, Torres, Rosario, 19, F, M
Facundo, Peralta, Buenos Aires, 22, M, F
Lara, Castro, Córdoba, 25, F, M
Roberto, Medina, Rosario, 31, M, F
Julieta, Rojas, Buenos Aires, 28, F, M
